Code,Name,Old Location,New Location,Coming Stock,Stock
DUMBBELL_RACK_TR4137,O-01-02_KK123_Dumbbell Rack Storage Stand,O-01-02,P-03-03,15,3
FOOD_DEHYDRATOR,"SL-03-908_KK123_Electric Food Fruit Dehydrator Machine,",SL-03-908,SL-03-908,15,3
Pr2784,,,R-04-01,,
DESK_120_TR4071,,,Q-05-02,,
PR2761,,,L-04-101,,
Pr4442,,,L-05-306,,
OFFICE-CHAIR-LEATHER,,,Z-05-01,,
RACK_BASKET_122CM,,,Q-01-04,,
SALOON_TRY_TR4237,O-02-05_KK123_Salon Beauty Trolley Car,O-02-05,O-02-05,10,0
PR3383,A-09-03_3383 RGB Festoon Light 20m 24 Bulbs_A2_CAS_,A-09-03,A-09-03,10,0
INTERCOM_1200M,I-01-04_Intercom 1200 meter Hands-free Inter phone Helmet Headset Black,I-01-04,I-02-04,20,2
3TIER_TROLLEY_BLACK,"O-02-04_KK123_SR_Storage Trolley Cart, Multi-Purpose Trolley",O-02-04,O-02-04,10,0
PR4585,Q-01-03_4585 Golf Net 10x7ft _DP_CAS_,Q-01-03,Q-01-01,20,0
DOUBLE_TOWEL_WARMER_TR4003,,,R-04-02,,
PR2395,,,C-08-06,,
Pr4444,,,L-05-306,,
PUMP_TDA50_PR125,,,Q-05-01,,
CAR_JUMPER,,,D-03-04,,
TV_STAND,,,R-N1-03,,
DIESEL_HEATER_TR4395,NEW_KK123_8KW 12V All In One Diesel Air Heater LCD Thermostat Boat Mot,NEW,N-01-04,15,0
pr4262,,,A-07-03,,
GAMINIGCHAIR_RED,,,Z-08-01,,
SAUSAGE_MAKER_3L ,,,Q-05-01,,
PR3248,R-04-02_3248 Dip Bars Stands _DP_CAS_,R-04-02,O-04-04,7,0
HITTING_CAGE_2.5M_TR4247,,,Q-06-03,,
PLANT_LIGHT_216LED,,,K-02-03,,
,,,,0.0,0.0
,,,,0.0,4.0
PR4018,,,M-04-204,,
GAMINGCHAIR_GREEN_TR1219,,,Z-08-01,,
HOVER_CART_BLACK_TR1222,,,R-01-02,,
PR3092,,,A-06-01,,
DUMBELLS_12.5KG,O-04-01_KK123_12.5kg Rubber Hex Dumbbell PAIR,O-04-01,O-05-01,16,0
PR2319Ü,,,N-04-02,,
PR2960,A-06-02_2960 Hydraulic Dual arm monitor stand _SH_CAS_,A-06-02,A-05-03,2,0
PLANT_LIGHT_TRIPOD_TR4072,,,K-01-02,,
Pr4768,,,F-06-02,,
,,,,0.0,0.0
,,,,0.0,0.0
PLANT_LIGHT_TRIPOD_TR4072,"K-01-03_KK123_SR_Grow Light with Stand, FRENAN Grow Lights",K-01-03,K-01-02,20,10
HOVER_CART_Red_TR1221,,,R-01-02,,
PR4274,J-05-04_4274 MASSAGE GUN USB Silver_A2_CAS_,J-05-04,J-05-02,10,2
x,,,HISEEU_BATTERY_CAM_TR4094,,
PR2396,A-09-01_2396 Hiace Tail Lights Right _SH_CAS_,A-09-01,C-08-06,20,0
RECOVERY_TRACKS_BLUE,O-06-05_KK123_New Recovery Traction Tracks Sand Mud Snow Track,O-06-05,P-04-05,11,0
4751,,,R-03-01,,
,,,,0.0,0.0
PR718,,,D-05-04,,
DYSON_BATTERY_2.5AH,G-01-01_Replacement Dyson V6 2.5mAh Battery,G-01-01,G-01-01,50,3
Easel_withdrawer,,,R-N1-03,,
Pr4385,,,Y-08-02,,
C50-TZ_Solar__TR4447,,,B-01-03,,
SP2_7_PASLODE_2000MaH_99,,,L-09-02,,
PR2538,D-03-01_2538 MASSAGE GUN Black,D-03-01,D-03-01,20,0
PR3151,,,F-07-05,,
Pr2380,,,R-N1-02,,
DOOR_LOCK_AZ,,,E-01-02,,
C70_Solar__TR4448,,,C-04-03,,
BEARING_PULLER_TR4360,,,SL-03-602,,
