Code,Name,Old Location,New Location,Coming Stock,Stock
LED_BAR_23INCH,G-01-06_KK123_SR_Led,G-01-06,,23,Inch
LOUNGE_CHAIR_TR4080,KK123_Eames,KK123,,Leather,Lounge
LAPTOP_TABLE_BLACK_60CM,P-05-01_KK123_KK123_Adjustable,P-05-01,,Portable,Desk
HUNTING_BOWL,F-02-03_Dog,F-02-03,,Eating,Pet
JOCKEY_WHEEL_1000LB,O-06-03_KK123_Heavy,O-06-03,,Wheel,1000
MEAT_SLICER,A-01-02_KK123_Frozen,A-01-02,,Stainless,Meat
PAN_REMOTE_NEW_TR4287,I-04-03_Panasonic,I-04-03,,nan,nan
OTOMON_STOOL_SMALL,F-01-01_KK123_Upholstered,F-01-01,,Ottoman,Footrest
MICROWAVE_RACK_BLACK,K-04-03_KK123_Microwave,K-04-03,,Stand,Storage
HK02-2_DARKGREEN,O-02-02_KK123_Outdoor,O-02-02,,Up,Tent
FITNESS_YELLOW,Z-07-01_KK123_Spin,Z-07-01,,nan,10
FREIDGE_RACK_TR4113,P-01-02_KK123_Sorting,P-01-02,,Storage,Racks
FENCE_TESTER,J-02-04_Digital,J-02-04,,Electric,Fence
EASY_SLICER,I-01-06_KK123_A2_Cheese,I-01-06,,in,1
EXERCISE_BIKE_WHITE_TR4001,Z-05-01_KK123_exercise,Z-05-01,,nan,8
FUEL_LINE_5M_TR4259,J-02-02_5M,J-02-02,,Line,Hose
HITTING_CAGE_2.5M_TR4247,KK123_PGM,KK123,,Swing,Cutting
OFFICE_CHAIR_BLACK,Z-05-01_KK123_Adjustable,Z-05-01,new_location,Chair,0.077
HK02-1_DARKGREEN,K-03-01_KK123_Outdoor,K-03-01,,Up,Camping
HANGER_STAND_WHITE_S,O-03-03_KK123_Tree,O-03-03,,18,Hooks
GOLF_CLUB_9PCS_TR4206,Z-08-01_KK123_PGM,Z-08-01,,9,pcs
GROOMING_TABLE_110CM_BLUE,"Z-06-01_KK123_Pet Dog Grooming Table, Professional Foldable Pet",Z-06-01,,10,0
TOILET_STORAGE_WHITE,K-02-03_KK123_SR_Toilet,K-02-03,,Bathroom,Shelf
USB_CHARGING_SOCKET_SMALL,I-01-04_Power,I-01-04,,nan,nan
SURVIVAL_BRACELET_2-PACK,K-03-03_Survival,K-03-03,,black,and
SUNSHADE_GREY_5X5M,C-02-01_KK123_A2_Shade,C-02-01,,nan,nan
