Code,Name,Old Location,New Location,Coming Stock,Stock
DUMBBELL_RACK_TR4137,O-01-02_KK123_Dumbbell Rack Storage Stand,O-01-02,P-03-03,15,3
INTERCOM_1200M,I-01-04_Intercom 1200 meter Hands-free Inter phone Helmet Headset Black,I-01-04,I-02-04,20,2
GAMINIGCHAIR_RED,,,Z-08-01,,
GAMINGCHAIR_GREEN_TR1219,,,Z-08-01,,
PLANT_LIGHT_TRIPOD_TR4072,"K-01-03_KK123_SR_Grow Light with Stand, FRENAN Grow Lights",K-01-03,K-01-02,20,10
DYSON_BATTERY_2.5AH,G-01-01_Replacement Dyson V6 2.5mAh Battery,G-01-01,G-01-01,50,3
DVR_CAM_BLACK_TR1163_ONLY,,,I-08-06,,
Pr1899,,,O-04-01,,
XBULL_WINCH_5000LBS_TR4207,O-02-04_KK123_X-BULL 5000LBS/2268KGS Electric Winch 12V,O-02-04,O-03-01,10,0
PR2704,,,Q-06-02,,
PR3244,,,O-02-02,,
DIGGER_EXCAVATOR,,,O-04-03,,
Pr3797,,,Y-04-01,,
PR3393,,,Y-02-02,,
PR2349,,,Y-05-02,,
HEAT_PRESS_TR4401,,,Z-08-01,,
PR2389,,,Y-04-01,,
SMART_GARDEN_BLACK,M-02-04_SR_KK123_Hydroponic Smart Garden,M-02-04,,15,0
EASY_SLICER,M-01-101_KK123_A2_Cheese Grater 3 in 1 Veggie Chopper,M-01-101,,20,9
PLANT_LIGHT_312LED,K-01-02_KK123_SR_312 beads,K-01-02,,30,0
SP2_22_CR1/3N_BAT_05,H-03-02_CR1/3N battery,H-03-02,,101,26
SP2_7_PASLODE_2000MaH_99,L-08-03_Paslode Battery 2000mAh,L-08-03,,30,29
SAM_FILTERDA29-00003G,C-05-01_00003G Samsung fridge filter 1675,C-05-01,,15,21
THREAD_REPAIR_88PCS_TR4257,G-01-04_Thread Repair Kit 88Pcs,G-01-04,,15,0
CAR_JUMPER,D-07-01_KK123_A2_SR_Jumper Cables Heavy Duty Booster Cables,D-07-01,,10,0
BAMBOO_1.40M_TR1211,Q-04-04_KK123_4739 Bamboo Wardrobe 1.60m wide,Q-04-04,,8,2
CLOTH_HOLDER_165CM_WHITE,K-03-02_KK123_SR_Coat Rack Garment Clothes Holder Hanger Floor Stand,K-03-02,,10,1
STEERING_LOCK_BLACK,"M-06-205_KK123_KR_A2_Car Lock, Car Steering Wheel Lock 4830",M-06-205,M-06-204,20,10
FUEL_LINE_5M_TR4259,J-02-03_5M AN6 Fuel Line Hose Kit,J-02-03,J-02-04,15,1
CORDLESS_DRILL_36V,J-03-04_Cordless Drill 36Vtwo battery with drill bits and charger,J-03-04,J-02-04,20,0
BLACK_DECKER_4AH_TR4261,I-01-04_4.0Ah Replacement Battery Black and Decker,I-01-04,I-01-05,20,0
ADJ_DUMBBELLS_40KG,Z-02-01_KK123_ADJUSTABLE DUMBBELLS 40KG,Z-02-01,Z-06-01,12,1
FEATHER_LAMP_TR4110,D-03-06_KK123_Feather table lamp bedroom,D-03-06,D-03-06,10,4
ARM_BLASTER,D-03-04_KK123_Bollinger Arm Blaster Bombe Barbell Bar Weight,D-03-04,D-02-06,10,0
SP2_HP_CHARGER_22,C-05-03_Blue Tip HP Laptop Charger,C-05-03,C-05-03,50,11
PLANT_LIGHT_216LED,L-02-03_KK123_A2_SR_216beads,L-02-03,L-01-305,30,2
GRIP_LOCK_RED_TR4483,Grip Lock RED,Grip Lock RED,I-02-05,20,0
SP1_14_CHIKEN_FEEDER_40,O-01-03_KK123_Automatic Chicken Feeder Self Open Poultry Alumnium,O-01-03,O-01-03,50,0
SP2_20_MAKITA_4.0Ah_69,"I-01-03_Replacement Makita 18V 4.0ah Battery, Makita Battery 18v",I-01-03,L-09-04,100,0
SINK_TAP_EXTANDALE,D-01-04_KK123_KR_A2_Washbasin washbasin faucet bathroom toilet hot and cold,D-01-04,C-02-02,10,0
COIL_SPRING_TR4255,J-02-04_KK123_A2_2Pc Coil Spring Compressor,J-02-04,J-02-04,10,0
SP2_26_PROJECTOR_18,F-02-06_KK123_A2_LCD T6 Smart WiFi Projector Support 1,F-02-06,F-02-05,10,0
WLS_CAM_TR4126,D-02-04-Wireless camera,D-02-04-Wireless camera,D-02-04,10,0
Wardrobe_Organiser_GREY,N-03-03_KK123_Wardrobe Organiser GREY,N-03-03,N-03-03,16,4
CHEESE_BOARD_SET,I-01-06_KK123_SR_Cheese Board and Knife Set Wood Charcuterie Platter,I-01-06,I-01-06,15,5
STOCK_STOP_ENERGI_TR4258,J-03-04_Electric Fence Energizer LCD High Voltage Pulse,J-03-04,I-03-05,15,0
FISHING_ROD_HOLDER,"J-04-04_KABA-Fishing Rod Rack, Fishing Rod Holder, Garage Wall Mount",J-04-04,J-03-05,20,0
CLOTH_BIN_TR4235,D-04-05_KK123_A2_Clothes Storage Bag Organizer,D-04-05,D-04-02,10,0
FENCE_TESTER,J-02-04_Digital Multimeter Digital Electric Fence Voltage Tester,J-02-04,J-02-02,20,1
PAN_REMOTE_NEW_TR4287,I-04-03_Panasonic TV Remote,I-04-03,I-04-03,20,0
HOT_WATER_120W,I-03-05_KK123_KR_A2_Shower Hot Water Booster Pump 120W,I-03-05,L-06-03,15,2
SOCKET_TOOL_SET_TR4234,I-01-05_KK123_A2_13pc Impact Socket,I-01-05,I-01-06,15,0
ENGINE_STAND_1TON,P-05-01_KK123_1000lb / 453kg Engine Stand,P-05-01,Z-08-01,10,0
GRIP_LOCK_BLACK_TR4484,Grip Lock Black,Grip Lock Black,J-03-05,20,0
DRYWALL_LIFTER_TR4009,Z-05-01_KK123_Drywall Lifter Panel Ceiling Hoist 16FT 65KG Lift,Z-05-01,Z-06-01,10,5
DOOR_LOCK_AZ,"J-07-01_Intelligent Door Lock, Electronic Anti-Theft Keyless 1374",J-07-01,J-07-01,15,6
CRIMPING_YELLOW,M-05-03_KK123_KR_A2_Hydraulic Crimping Tool Yellow,M-05-03,M-04-404,20,0
SP1_35BEDSIDE_TABLE_13,O-02-01_KK123_ Nightstand 4 Table Legs Wood Bed side table,O-02-01,Z-07-01,25,9
SP2_33_KITCHEN_SHELF_72,A-07-03_KK123_SR_Microwave Shelf Rack Stand Kitchen Shelf Rack Stand,A-07-03,O-05-04,15,0
DRAWING_PAD,C-01-04_KK123_KR_A2_ LED Light Box Tracing Light Pad,C-01-04,C-01-03,20,1
SP1_35STEPPER_23,O-04-04_KK123_SR_Sport Step Fitness Machines Portable Mini Mute,O-04-04,O-04-04,15,0
HEXA_TEMPOLINE_TR1218,P-05-05_KK123_Rebounder Mini Trampoline 42 inch Trampoline,P-05-05,P-05-05,10,0
COFFEE_TABLE_80CM,O-03-03_KK123_Coffee Tables Living Room Simple Modern,O-03-03,P-03-04,10,2
METAL_BLACK_PLANT_TR1175,O-03-04_KK123_Flower Stand Plant Display Stand 0.028 6 3613,O-03-04,P-04-03,14,0
SP1_26MOTORBIKE_STAND95,P-03-02_KK123_Motorcycle Motorbike Stand,P-03-02,R-05-02,10,3
CAT_CAGE_TR4256,Z-04-01_KK123_Small cat Playpen,Z-04-01,O-05-03,30,0
AXLE_STAND_BLUE_TR4271,"O-03-03_KK123_Car Jack Stands, 6 Ton Blue pair",O-03-03,O-05-01,20,0
XBULL_WINCH_4500LBS_TR4208,Q-01-02_KK123_X-BULL Electric Winch 12V 4500LBS/2041KGS Wireless Remote Steel,Q-01-02,O-03-01,10,0
SIDE_TABLE_TR4336,KK123_Side Table,KK123,P-04-03,9,0
BARN_DOOR_2.5M,P-05-01_KK123_Barn Door Hardware Kit 2.5m,P-05-01,Q-06-01,15,0
SP1_35BED_TABLE_14,O-04-03_KK123_SR_Bedside Table 2 Cabinet,O-04-03,O-04-03,1,4
CHAIR_MAT_120CM,Q-02-01_KK123_Chair Mat 120cm,Q-02-01,M-05-02,108,18
PIANO_STOOL,F-01-02_KK123_Keyboard Stool Piano Stool,F-01-02,O-05-03,50,0
SP2_38_DOG_BARRIER_54,P-01-04_KK123_Dog Barrier,P-01-04,P-04-04,20,0
3_BIKE_STAND,O-02-03_SR_KK123_Bikes stand,O-02-03,O-02-03,20,0
MEAT_SLICER,M-06-406_KK123_Frozen Meat Slicer Stainless Meat Cutter,M-06-406,M-06-406,10,8
OTOMON_STOOL_SMALL,SL-03-802_KK123_Upholstered Padded Pouf Ottoman Footrest Stool,SL-03-802,SL-03-802,16,2
RECOVERY_TRACKS_BLUE,O-06-05_KK123_New Recovery Traction Tracks Sand Mud Snow Track,O-06-05,,11,0
BAR_STOOL_BLACK_1PCS,Q-03-01_KK123_Bar Stool Breakfast Kitchen Stools Faux Leathe,Q-03-01,,16,3
BEDSIDE_WHITE_TR1155,Z-08-01_KK123_Luxury bedside table with drawer White,Z-08-01,,1,8
SP1_25OFFICE_LEATHER57,Z-05-01_KK123_Office Chair Khakhi Massage Chair 0.126 18,Z-05-01,,2,5
MASSAGE_TABLE_WOOD_CUSION,Y-05-01_KK123_Portable 2 Sections Massage Table Wooden Folding Massage,Y-05-01,,15,0
TELE_LADDER_5M,R-03-02_KK123_Telescopic Ladder 16.5Ft 5M R-03-02,R-03-02,R-03-02,10,1
BENCH_NV01-53-1,Z-05-01_KK123_Adjustable Weight Bench,Z-05-01,Q-03-02,10,1
SP2_35_DUMBELL_RACK_78,Q-04-01_3_KK123_Tier Weights and Barbell Storage Rack for Barbell,Q-04-01,R-06-01,8,0
GROOMING_TABLE_S,Q-04-02_KK123_Pet Dog/Cat Grooming Table Fordable Height Adjustable,Q-04-02,Z-07-01,10,0
SP1_35MASSAGE_TABLE_81,Z-06-01_KK123_3 Fold Portable Aluminium Massage Table 0.14 18,Z-06-01,Z-07-01,10,5
DOG_PANEL_60CM,Z-05-01_KK123_BestPet Pet Playpen 8 Panel 60cm X 80 CM,Z-05-01,Q-03-04,10,0
HEATPRESS_8IN1_TR4250,"Z-05-01_KK123_8 in 1 Heat Press Machine 12x15""",Z-05-01,Z-08-01,15,10
SHOE_DRAW_120CM_NEW,Z-03-01_KK123_Shoe Cabinet size 107*50*17cm,Z-03-01,Y-07-02,30,0
SP2_34_RAMP_BLACK_16,Z-06-01_KK123_Car Ramp Metal Black,Z-06-01,Y-07-02,8,0
COFFEE_STONE_WHITE_TR4047,R-03-02_KK123_Stone Coffee Table,R-03-02,Y-07-02,8,0
SP1_37DRESSING_TABLE44,"R-05-01_KK123_Dressing Table with 3 Drawers, White 0.091 22kg",R-05-01,Y-07-02,15,0
SP2_38_RAMP_RED_65,Y-05-01_KK123_Car Ramps 2000kg(Pair),Y-05-01,Y-07-02,10,0
SP1_33GYM_STATION40,Q-05-01_KK123_Chin Up Pull Up Chin Up Station Power Tower,Q-05-01,Y-07-02,10,0
DRYWALL_YELLOW_TR4338,3.3M Drywall Lifter,3.3M Drywall Lifter,Z-07-01,10,0
ADJUSTABLE_DUMBELLS20KG_TR4051,Z-05-01_KK123_Adjustable Dumbells 20kg,Z-05-01,Z-07-01,10,0
SP2_34_BIKE_RED_95,Y-02-01_KK123_Exercise Bikes 0.061 11,Y-02-01,Q-03-02,10,0
HEATPRESS_5IN1_TR4249,Z-06-01_KK123_15 x 12 Heat Press Machine,Z-06-01,Z-06-01,15,7
EXERCISE_BIKE_TR4048,R-03-01_KK123_Exercise Bike,R-03-01,Z-07-01,8,0
TRAMPOLINE_1.4M,R-01-02_KK123_Trampoline Indoor and Outdoor Round Trampoline Kids,R-01-02,Q-02-02,10,0
ROOM_DIVIDER_COFFEE,P-04-05_KK123_1.5M Rattan Room Divider Screen 4 Panels 0.059 6kg,P-04-05,P-04-05,10,0
DIVIDER_WHITE,R-02-04_KK123_Room Divider White 0.059 6kg,R-02-04,R-02-04,4,6
